strength,date,,filename
933,2012-11-04.4,2012-10-28,AR_LIST_2012.10.28_12:00:00.txt
753,2012-11-04.8,2012-10-29,AR_LIST_2012.10.29_00:00:00.txt
792,2012-11-04.4,2012-10-29,AR_LIST_2012.10.29_12:00:00.txt
595,2012-11-04.8,2012-10-30,AR_LIST_2012.10.30_00:00:00.txt
651,2012-11-04.4,2012-10-30,AR_LIST_2012.10.30_12:00:00.txt
625,2012-11-04.8,2012-10-31,AR_LIST_2012.10.31_00:00:00.txt
634,2012-11-04.4,2012-10-31,AR_LIST_2012.10.31_12:00:00.txt
545,2012-11-04.9,2012-11-01,AR_LIST_2012.11.01_00:00:00.txt
502,2012-11-04.5,2012-11-01,AR_LIST_2012.11.01_12:00:00.txt
477,2012-11-04.9,2012-11-02,AR_LIST_2012.11.02_00:00:00.txt
585,2012-11-04.3,2012-11-02,AR_LIST_2012.11.02_12:00:00.txt
594,2012-11-04.8,2012-11-03,AR_LIST_2012.11.03_00:00:00.txt
456,2012-11-11.2,2012-11-03,AR_LIST_2012.11.03_00:00:00.txt
514,2012-11-04.3,2012-11-03,AR_LIST_2012.11.03_12:00:00.txt
504,2012-11-10.5,2012-11-03,AR_LIST_2012.11.03_12:00:00.txt
473,2012-11-04.8,2012-11-04,AR_LIST_2012.11.04_00:00:00.txt
656,2012-11-10.7,2012-11-04,AR_LIST_2012.11.04_00:00:00.txt
264,2012-11-04.3,2012-11-04,AR_LIST_2012.11.04_12:00:00.txt
787,2012-11-10.1,2012-11-04,AR_LIST_2012.11.04_12:00:00.txt
49,2012-11-05.1,2012-11-05,AR_LIST_2012.11.05_00:00:00.txt
668,2012-11-10.6,2012-11-05,AR_LIST_2012.11.05_00:00:00.txt
682,2012-11-10.1,2012-11-05,AR_LIST_2012.11.05_12:00:00.txt
515,2012-11-10.6,2012-11-06,AR_LIST_2012.11.06_00:00:00.txt
501,2012-11-10.2,2012-11-06,AR_LIST_2012.11.06_12:00:00.txt
311,2012-11-10.7,2012-11-07,AR_LIST_2012.11.07_00:00:00.txt
268,2012-11-10.1,2012-11-07,AR_LIST_2012.11.07_12:00:00.txt
193,2012-11-10.3,2012-11-08,AR_LIST_2012.11.08_00:00:00.txt
118,2012-11-09.1,2012-11-08,AR_LIST_2012.11.08_12:00:00.txt
101,2012-11-09.7,2012-11-09,AR_LIST_2012.11.09_00:00:00.txt
129,2012-11-09.3,2012-11-09,AR_LIST_2012.11.09_12:00:00.txt
15,2012-11-10.1,2012-11-10,AR_LIST_2012.11.10_00:00:00.txt
404,2012-11-10.7,2012-11-10,AR_LIST_2012.11.10_00:00:00.txt
246,2012-11-10.3,2012-11-10,AR_LIST_2012.11.10_12:00:00.txt
21,2012-11-11.0,2012-11-11,AR_LIST_2012.11.11_00:00:00.txt
675,2012-12-23.4,2012-12-14,AR_LIST_2012.12.14_12:00:00.txt
657,2012-12-23.9,2012-12-15,AR_LIST_2012.12.15_00:00:00.txt
689,2012-12-23.4,2012-12-15,AR_LIST_2012.12.15_12:00:00.txt
475,2012-12-23.9,2012-12-16,AR_LIST_2012.12.16_00:00:00.txt
437,2012-12-23.5,2012-12-16,AR_LIST_2012.12.16_12:00:00.txt
212,2012-12-23.9,2012-12-17,AR_LIST_2012.12.17_00:00:00.txt
312,2012-12-23.4,2012-12-17,AR_LIST_2012.12.17_12:00:00.txt
229,2012-12-23.8,2012-12-18,AR_LIST_2012.12.18_00:00:00.txt
